fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_guestm,results_benfordd,results_absentee_guestm,results_absentee_benfordd,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
28077,Lawrence,6332,953,24,24,None,100,6332,100%,100% reported,edison,10,unknown,602,4299,2033,566,387,2020-12-16T20:46:47Z,35.78648,R+36,Guest +36,republican,guestm,MS-G-H-3-2020-11-03,ms-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",341846,3270,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,514,514,100% reporting,100%,96,357000,edison,96%,96% reported,edison,republican,FALSE,2021-02-23T15:46:34Z,TRUE,29.33543,100282,R+29,Guest +29,republican,FALSE,"","",7,0,1604459372270,FALSE
28085,Lincoln,16287,0,30,30,None,100,16287,100%,100% reported,edison,10,unknown,1042,11751,4536,0,0,2020-11-24T13:24:05Z,44.29913,R+44,Guest +44,republican,guestm,MS-G-H-3-2020-11-03,ms-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",341846,3270,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,514,514,100% reporting,100%,96,357000,edison,96%,96% reported,edison,republican,FALSE,2021-02-23T15:46:34Z,TRUE,29.33543,100282,R+29,Guest +29,republican,FALSE,"","",7,0,1604459372270,FALSE
28089,Madison,43996,0,33,33,None,100,43996,100%,100% reported,edison,10,unknown,2144,31172,12824,0,0,2020-11-24T13:24:06Z,41.70379,R+42,Guest +42,republican,guestm,MS-G-H-3-2020-11-03,ms-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",341846,3270,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,514,514,100% reporting,100%,96,357000,edison,96%,96% reported,edison,republican,FALSE,2021-02-23T15:46:34Z,TRUE,29.33543,100282,R+29,Guest +29,republican,FALSE,"","",7,0,1604459372270,FALSE
28099,Neshoba,11587,0,27,27,None,100,11587,100%,100% reported,edison,10,unknown,468,8592,2995,0,0,2020-11-24T13:24:06Z,48.30413,R+48,Guest +48,republican,guestm,MS-G-H-3-2020-11-03,ms-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",341846,3270,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,514,514,100% reporting,100%,96,357000,edison,96%,96% reported,edison,republican,FALSE,2021-02-23T15:46:34Z,TRUE,29.33543,100282,R+29,Guest +29,republican,FALSE,"","",7,0,1604459372270,FALSE
28101,Newton,10119,0,16,16,Merged into voters' home precincts and released with cumulative results,100,10119,100%,100% reported,edison,10,unknown,568,7201,2918,0,0,2020-11-24T13:24:06Z,42.32632,R+42,Guest +42,republican,guestm,MS-G-H-3-2020-11-03,ms-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",341846,3270,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,514,514,100% reporting,100%,96,357000,edison,96%,96% reported,edison,republican,FALSE,2021-02-23T15:46:34Z,TRUE,29.33543,100282,R+29,Guest +29,republican,FALSE,"","",7,0,1604459372270,FALSE
28103,Noxubee,4854,1215,8,8,Merged into voters' home precincts and released with cumulative results,100,4854,100%,100% reported,edison,10,unknown,382,1282,3572,196,1019,2020-11-24T13:24:06Z,47.17759,D+47,Benford +47,democrat,benfordd,MS-G-H-3-2020-11-03,ms-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",341846,3270,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,514,514,100% reporting,100%,96,357000,edison,96%,96% reported,edison,republican,FALSE,2021-02-23T15:46:34Z,TRUE,29.33543,100282,R+29,Guest +29,republican,FALSE,"","",7,0,1604459372270,FALSE
28105,Oktibbeha,17225,0,18,18,Released as a separate subtotal at the end of tabulation,100,17225,100%,100% reported,edison,10,some,1134,8932,8293,0,0,2020-11-24T13:24:06Z,3.70972,R+4,Guest +4,republican,guestm,MS-G-H-3-2020-11-03,ms-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",341846,3270,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,514,514,100% reporting,100%,96,357000,edison,96%,96% reported,edison,republican,FALSE,2021-02-23T15:46:34Z,TRUE,29.33543,100282,R+29,Guest +29,republican,FALSE,"","",7,0,1604459372270,FALSE
28113,Pike,16638,0,25,25,None,100,16638,100%,100% reported,edison,10,unknown,1376,8674,7964,0,0,2021-02-23T15:46:34Z,4.26734,R+4,Guest +4,republican,guestm,MS-G-H-3-2020-11-03,ms-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",341846,3270,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,514,514,100% reporting,100%,96,357000,edison,96%,96% reported,edison,republican,FALSE,2021-02-23T15:46:34Z,TRUE,29.33543,100282,R+29,Guest +29,republican,FALSE,"","",7,0,1604459372270,FALSE
28121,Rankin,70369,0,48,48,None,100,70369,100%,100% reported,edison,10,some,3512,54043,16326,0,0,2020-11-24T13:24:07Z,53.59889,R+54,Guest +54,republican,guestm,MS-G-H-3-2020-11-03,ms-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",341846,3270,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,514,514,100% reporting,100%,96,357000,edison,96%,96% reported,edison,republican,FALSE,2021-02-23T15:46:34Z,TRUE,29.33543,100282,R+29,Guest +29,republican,FALSE,"","",7,0,1604459372270,FALSE
28123,Scott,10404,0,23,23,None,100,10404,100%,100% reported,edison,10,unknown,356,6341,4063,0,0,2020-11-24T13:24:07Z,21.89542,R+22,Guest +22,republican,guestm,MS-G-H-3-2020-11-03,ms-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",341846,3270,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,514,514,100% reporting,100%,96,357000,edison,96%,96% reported,edison,republican,FALSE,2021-02-23T15:46:34Z,TRUE,29.33543,100282,R+29,Guest +29,republican,FALSE,"","",7,0,1604459372270,FALSE
28127,Simpson,11431,0,23,23,None,100,11431,100%,100% reported,edison,10,unknown,558,7798,3633,0,0,2020-11-24T13:24:07Z,36.43601,R+36,Guest +36,republican,guestm,MS-G-H-3-2020-11-03,ms-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",341846,3270,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,514,514,100% reporting,100%,96,357000,edison,96%,96% reported,edison,republican,FALSE,2021-02-23T15:46:34Z,TRUE,29.33543,100282,R+29,Guest +29,republican,FALSE,"","",7,0,1604459372270,FALSE
28129,Smith,8069,0,18,18,Merged into voters' home precincts and released with cumulative results,100,8069,100%,100% reported,edison,10,unknown,678,6417,1652,0,0,2020-11-24T13:24:07Z,59.05317,R+59,Guest +59,republican,guestm,MS-G-H-3-2020-11-03,ms-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",341846,3270,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,514,514,100% reporting,100%,96,357000,edison,96%,96% reported,edison,republican,FALSE,2021-02-23T15:46:34Z,TRUE,29.33543,100282,R+29,Guest +29,republican,FALSE,"","",7,0,1604459372270,FALSE
28147,Walthall,6736,0,20,20,None,100,6743,100%,100% reported,edison,2,unknown,466,4136,2600,0,0,2021-02-23T15:45:32Z,22.80285,R+23,Guest +23,republican,guestm,MS-G-H-3-2020-11-03,ms-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",341846,3270,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,514,514,100% reporting,100%,96,357000,edison,96%,96% reported,edison,republican,FALSE,2021-02-23T15:46:34Z,TRUE,29.33543,100282,R+29,Guest +29,republican,FALSE,"","",7,0,1604459372270,FALSE
28157,Wilkinson,3863,0,9,9,None,100,3863,100%,100% reported,edison,10,none,326,1347,2516,0,0,2020-11-24T13:24:08Z,30.26145,D+30,Benford +30,democrat,benfordd,MS-G-H-3-2020-11-03,ms-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",341846,3270,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,514,514,100% reporting,100%,96,357000,edison,96%,96% reported,edison,republican,FALSE,2021-02-23T15:46:34Z,TRUE,29.33543,100282,R+29,Guest +29,republican,FALSE,"","",7,0,1604459372270,FALSE
